ts,lat,lon,conf,alt
1768466501.5067983,28.422337,77.526225,0.57,5.11
1768466502.4610488,28.422333,77.526216,0.54,5.11
1768466502.8209755,28.422332,77.526202,0.56,5.11
1768466502.8829782,28.422332,77.526202,0.56,5.11
1768466503.39425,28.422329,77.526202,0.61,5.11
1768466503.481117,28.422329,77.526202,0.61,5.11
1768466503.932461,28.422331,77.526201,0.52,5.11
1768466503.991322,28.422331,77.526201,0.52,5.11
1768466504.629258,28.422331,77.526201,0.52,5.11
1768466505.1546273,28.422331,77.526198,0.64,5.11
1768466505.3436797,28.422331,77.526198,0.64,5.11
1768466505.4103355,28.422331,77.526198,0.64,5.11
1768466505.6491098,28.422326,77.526199,0.63,5.11
1768466505.6972415,28.422326,77.526199,0.63,5.11
1768466506.0051587,28.422326,77.526199,0.63,5.11
1768466506.2512343,28.422324,77.526192,0.66,5.11
1768466506.5085268,28.422324,77.526192,0.66,5.11
1768466506.544429,28.422324,77.526192,0.66,5.11
1768466506.9083128,28.422324,77.526202,0.6,5.11
1768466506.9993918,28.422324,77.526202,0.6,5.11
1768466507.6480155,28.422328,77.526208,0.62,5.11
1768466507.996413,28.422328,77.526208,0.62,5.11
1768466508.0393507,28.422328,77.526208,0.62,5.11
1768466508.4928699,28.422337,77.526202,0.51,5.11
1768466508.5576148,28.422337,77.526202,0.51,5.11
1768466529.9703445,28.422777,77.526067,0.51,5.11
1768466530.0781388,28.422777,77.526067,0.51,5.11
1768466530.2529097,28.422777,77.526067,0.51,5.11
1768466536.0588984,28.422844,77.526218,0.52,5.11
1768466536.1357062,28.422844,77.526218,0.52,5.11
1768466536.524097,28.422844,77.526218,0.52,5.11
1768466564.3814418,28.4224,77.526181,0.56,5.11
1768466564.4922087,28.4224,77.526181,0.56,5.11
1768466564.84957,28.422451,77.526234,0.53,5.11
